LEAGUE,PLAYER_ID,POSITION,SEASON,AGE_SEPT_15,GP,G,A,TP,PPG,SEASON_NO,SEASON_>20GP,CUM_GP,ONLY_1_SEASON,MIN_3_SEASONS,DOB,DY_STATUS,SHOOTS,DRAFTED,NHL_PPG,NHL_GP
WHL,14496/chris-bruton,F,2007,20.644444,63,9,12,21,0.333333,3,3,191,0,1,1987-01-23,DY+2,R,No,0.000000,0
WHL,14496/chris-bruton,F,2008,21.644444,67,26,37,63,0.940299,4,4,258,0,1,1987-01-23,DY+3,R,No,0.000000,0
WHL,14498/rudolf-cerveny,F,2008,19.108333,61,10,9,19,0.311475,1,1,61,0,0,1989-08-06,DY+1,L,No,0.000000,0
WHL,14498/rudolf-cerveny,F,2009,20.108333,55,6,15,21,0.381818,2,2,116,0,0,1989-08-06,DY+2,L,No,0.000000,0
WHL,14499/scott-doucet,F,2005,17.580556,57,3,6,9,0.160000,1,1,57,0,1,1988-02-16,DY-1,R,No,0.000000,0
WHL,14499/scott-doucet,F,2006,18.580556,68,8,9,17,0.250000,2,2,125,0,1,1988-02-16,DY,R,No,0.000000,0
WHL,14499/scott-doucet,F,2007,19.580556,71,13,20,33,0.464789,3,3,196,0,1,1988-02-16,DY+1,R,No,0.000000,0
WHL,14499/scott-doucet,F,2008,20.580556,70,17,17,34,0.485714,4,4,266,0,1,1988-02-16,DY+2,R,No,0.000000,0
WHL,14499/scott-doucet,F,2009,21.580556,13,4,6,10,0.769231,5,0,279,0,1,1988-02-16,DY+3,R,No,0.000000,0
WHL,14500/ryan-mcdonald,F,2005,17.694444,58,2,4,6,0.100000,1,1,58,0,1,1988-01-05,DY-1,L,No,0.000000,0
WHL,14500/ryan-mcdonald,F,2006,18.694444,39,5,3,8,0.210000,2,2,97,0,1,1988-01-05,DY,L,No,0.000000,0
WHL,14500/ryan-mcdonald,F,2007,19.694444,67,27,23,50,0.746269,3,3,164,0,1,1988-01-05,DY+1,L,No,0.000000,0
WHL,14500/ryan-mcdonald,F,2008,20.694444,71,26,33,59,0.830986,4,4,235,0,1,1988-01-05,DY+2,L,No,0.000000,0
WHL,14500/ryan-mcdonald,F,2009,21.694444,70,37,26,63,0.900000,5,5,305,0,1,1988-01-05,DY+3,L,No,0.000000,0
WHL,14501/frazer-mclaren,F,2004,16.877778,50,0,3,3,0.060000,1,1,50,0,1,1987-10-29,DY-2,L,Yes,0.107843,102
WHL,14501/frazer-mclaren,F,2005,17.877778,71,6,5,11,0.154930,2,2,121,0,1,1987-10-29,DY-1,L,Yes,0.107843,102
WHL,14501/frazer-mclaren,F,2006,18.877778,70,12,6,18,0.257143,3,3,191,0,1,1987-10-29,DY,L,Yes,0.107843,102
WHL,14501/frazer-mclaren,F,2007,19.877778,61,19,12,31,0.508197,4,4,252,0,1,1987-10-29,DY+1,L,Yes,0.107843,102
WHL,14501/frazer-mclaren,F,2008,20.877778,66,19,21,40,0.606061,5,5,318,0,1,1987-10-29,DY+2,L,Yes,0.107843,102
WHL,14502/daine-todd,D,2004,17.680556,30,2,6,8,0.270000,1,1,30,0,1,1987-01-10,DY-1,R,No,0.000000,0
WHL,14502/daine-todd,D,2005,18.680556,70,10,21,31,0.442857,2,2,100,0,1,1987-01-10,DY,R,No,0.000000,0
WHL,14502/daine-todd,D,2006,19.680556,59,14,30,44,0.745763,3,3,159,0,1,1987-01-10,DY+1,R,No,0.000000,0
WHL,14502/daine-todd,D,2007,20.680556,5,3,2,5,1.000000,4,0,164,0,1,1987-01-10,DY+2,R,No,0.000000,0
WHL,14502/daine-todd,D,2008,21.680556,70,25,40,65,0.928571,5,4,234,0,1,1987-01-10,DY+3,R,No,0.000000,0
WHL,14504/colin-long,F,2006,17.238889,20,1,3,4,0.200000,1,1,20,0,1,1989-06-19,DY-1,R,Yes,0.000000,0
WHL,14504/colin-long,F,2007,18.238889,69,11,17,28,0.405797,2,2,89,0,1,1989-06-19,DY,R,Yes,0.000000,0
WHL,14504/colin-long,F,2008,19.238889,72,31,69,100,1.388889,3,3,161,0,1,1989-06-19,DY+1,R,Yes,0.000000,0
WHL,14504/colin-long,F,2009,20.238889,68,33,58,91,1.338235,4,4,229,0,1,1989-06-19,DY+2,R,Yes,0.000000,0
WHL,14507/tyler-dittmer,F,2005,17.980556,15,0,4,4,0.270000,1,0,15,0,1,1987-09-22,DY-1,L,No,0.000000,0
WHL,14507/tyler-dittmer,F,2006,18.980556,70,18,25,43,0.614286,2,1,85,0,1,1987-09-22,DY,L,No,0.000000,0
WHL,14507/tyler-dittmer,F,2007,19.980556,70,10,26,36,0.514286,3,2,155,0,1,1987-09-22,DY+1,L,No,0.000000,0
WHL,14507/tyler-dittmer,F,2008,20.980556,62,32,26,58,0.935484,4,3,217,0,1,1987-09-22,DY+2,L,No,0.000000,0
QMJHL,145096/guillaume-gelinas,D,2014,20.636111,1,0,0,0,0.000000,1,0,1,1,0,1994-01-26,DY+2,R,No,0.000000,0
WHL,14513/adrian-foster,F,2000,18.666667,7,1,2,3,0.430000,1,0,7,0,0,1982-01-15,DY,L,Yes,0.000000,0
WHL,14513/adrian-foster,F,2001,19.666667,5,0,5,5,1.000000,2,0,12,0,0,1982-01-15,DY+1,L,Yes,0.000000,0
WHL,14513/adrian-foster,F,2002,20.666667,27,14,13,27,1.000000,3,1,39,0,0,1982-01-15,DY+2,L,Yes,0.000000,0
USHL,14516/brandon-straub,D,2002,19.538889,54,0,3,3,0.055556,1,1,54,1,0,1983-03-01,DY+1,R,No,0.000000,0
WHL,14517/rob-klinkhammer,F,2004,18.091667,25,2,3,5,0.200000,1,1,25,0,1,1986-08-12,DY,L,No,0.000000,0
WHL,14517/rob-klinkhammer,F,2005,19.091667,72,14,12,26,0.361111,2,2,97,0,1,1986-08-12,DY+1,L,No,0.000000,0
WHL,14517/rob-klinkhammer,F,2006,20.091667,67,8,12,20,0.298507,3,3,164,0,1,1986-08-12,DY+2,L,No,0.000000,0
WHL,14517/rob-klinkhammer,F,2007,21.091667,66,33,40,73,1.106061,4,4,230,0,1,1986-08-12,DY+3,L,No,0.000000,0
WHL,145203/jozef-mrena,F,1999,19.369444,65,15,26,41,0.630769,1,1,65,0,0,1980-05-02,DY+1,L,No,0.000000,0
WHL,145203/jozef-mrena,F,2000,20.369444,58,17,27,44,0.758621,2,2,123,0,0,1980-05-02,DY+2,L,No,0.000000,0
OHL,145212/burke-macdonald,D,2006,18.658333,34,0,2,2,0.060000,1,1,34,1,0,1988-01-18,DY,L,No,0.000000,0
USHL,145271/gage-torrel,F,2013,19.230556,59,7,11,18,0.305085,1,1,59,0,0,1994-06-22,DY+1,L,No,0.000000,0
USHL,145271/gage-torrel,F,2014,20.230556,8,1,0,1,0.125000,2,0,67,0,0,1994-06-22,DY+2,L,No,0.000000,0
USHL,145298/john-baiocco,F,2014,19.275000,49,10,15,25,0.510204,1,1,49,1,0,1995-06-06,DY+1,R,No,0.000000,0
WHL,145397/joe-mahon,F,2013,19.305556,41,2,1,3,0.070000,1,1,41,0,0,1994-05-25,DY+1,R,No,0.000000,0
WHL,145397/joe-mahon,F,2014,20.305556,56,9,9,18,0.321429,2,2,97,0,0,1994-05-25,DY+2,R,No,0.000000,0
WHL,145480/harrison-harper,F,2013,19.188889,45,1,1,2,0.040000,1,1,45,1,0,1994-07-07,DY+1,R,No,0.000000,0
OHL,145557/matt-davis,F,2006,17.941667,6,1,0,1,0.170000,1,0,6,1,0,1988-10-06,DY-1,R,No,0.000000,0
OHL,14562/patrick-jarrett,F,2001,17.608333,60,15,38,53,0.883333,1,1,60,0,1,1984-02-06,DY-1,L,Yes,0.000000,0
OHL,14562/patrick-jarrett,F,2002,18.608333,47,6,24,30,0.638298,2,2,107,0,1,1984-02-06,DY,L,Yes,0.000000,0
OHL,14562/patrick-jarrett,F,2003,19.608333,63,16,39,55,0.873016,3,3,170,0,1,1984-02-06,DY+1,L,Yes,0.000000,0
OHL,14562/patrick-jarrett,F,2004,20.608333,67,26,46,72,1.074627,4,4,237,0,1,1984-02-06,DY+2,L,Yes,0.000000,0
OHL,14562/patrick-jarrett,F,2005,21.608333,68,27,49,76,1.117647,5,5,305,0,1,1984-02-06,DY+3,L,Yes,0.000000,0
OHL,14563/justin-donati,F,2004,17.911111,45,15,15,30,0.666667,1,1,45,0,1,1986-10-17,DY-1,R,No,0.000000,0
OHL,14563/justin-donati,F,2005,18.911111,43,12,27,39,0.906977,2,2,88,0,1,1986-10-17,DY,R,No,0.000000,0
OHL,14563/justin-donati,F,2006,19.911111,62,46,63,109,1.758065,3,3,150,0,1,1986-10-17,DY+1,R,No,0.000000,0
OHL,14563/justin-donati,F,2007,20.911111,63,47,44,91,1.444444,4,4,213,0,1,1986-10-17,DY+2,R,No,0.000000,0
WHL,145697/jason-mckee,D,2000,21.366667,69,23,39,62,0.898551,1,1,69,1,0,1979-05-03,DY+3,L,No,0.000000,0
USHL,145931/ryan-siiro,F,2012,19.591667,52,6,6,12,0.230769,1,1,52,0,0,1993-02-12,DY+1,R,No,0.000000,0
USHL,145931/ryan-siiro,F,2013,20.591667,63,11,22,33,0.523810,2,2,115,0,0,1993-02-12,DY+2,R,No,0.000000,0
OHL,145951/nick-betz,F,2012,17.158333,61,5,9,14,0.229508,1,1,61,0,1,1995-07-18,DY-1,R,No,0.000000,0
OHL,145951/nick-betz,F,2013,18.158333,44,4,8,12,0.272727,2,2,105,0,1,1995-07-18,DY,R,No,0.000000,0
OHL,145951/nick-betz,F,2014,19.158333,66,5,13,18,0.272727,3,3,171,0,1,1995-07-18,DY+1,R,No,0.000000,0
OHL,145951/nick-betz,F,2015,20.158333,60,22,32,54,0.900000,4,4,231,0,1,1995-07-18,DY+2,R,No,0.000000,0
OHL,145951/nick-betz,F,2016,21.158333,68,19,27,46,0.676471,5,5,299,0,1,1995-07-18,DY+3,R,No,0.000000,0
QMJHL,14607/brett-morrison,F,2005,18.138889,51,7,15,22,0.431373,1,1,51,0,1,1987-07-25,DY,L,Yes,0.000000,0
QMJHL,14607/brett-morrison,F,2006,19.138889,64,33,39,72,1.125000,2,2,115,0,1,1987-07-25,DY+1,L,Yes,0.000000,0
QMJHL,14607/brett-morrison,F,2007,20.138889,64,35,55,90,1.406250,3,3,179,0,1,1987-07-25,DY+2,L,Yes,0.000000,0
QMJHL,14607/brett-morrison,F,2008,21.138889,65,39,52,91,1.400000,4,4,244,0,1,1987-07-25,DY+3,L,Yes,0.000000,0
USHL,146116/nolan-stevens,F,2013,17.147222,21,3,2,5,0.238095,1,1,21,0,0,1996-07-22,DY-1,L,Yes,0.000000,0
USHL,146116/nolan-stevens,F,2014,18.147222,25,3,6,9,0.360000,2,2,46,0,0,1996-07-22,DY,L,Yes,0.000000,0
USHL,146117/patrick-newell,F,2013,17.658333,20,3,12,15,0.750000,1,1,20,0,0,1996-01-18,DY-1,L,No,0.000000,0
USHL,146117/patrick-newell,F,2014,18.658333,59,13,30,43,0.728814,2,2,79,0,0,1996-01-18,DY,L,No,0.000000,0
QMJHL,146191/felix-plouffe,F,2012,19.044444,45,2,9,11,0.244444,1,1,45,0,0,1993-08-29,DY+1,L,No,0.000000,0
QMJHL,146191/felix-plouffe,F,2013,20.044444,48,3,9,12,0.250000,2,2,93,0,0,1993-08-29,DY+2,L,No,0.000000,0
USHL,146192/john-gilmour,D,2012,19.327778,58,10,14,24,0.413793,1,1,58,1,0,1993-05-17,DY+1,L,Yes,0.151515,33
QMJHL,146193/jean-christophe-houde,F,2013,20.061111,34,2,3,5,0.150000,1,1,34,1,0,1993-08-23,DY+2,L,No,0.000000,0
OHL,14620/scott-sheppard,F,2001,17.963889,67,11,16,27,0.402985,1,1,67,0,1,1983-09-28,DY-1,R,No,0.000000,0
OHL,14620/scott-sheppard,F,2002,18.963889,60,20,26,46,0.766667,2,2,127,0,1,1983-09-28,DY,R,No,0.000000,0
OHL,14620/scott-sheppard,F,2003,19.963889,67,31,47,78,1.164179,3,3,194,0,1,1983-09-28,DY+1,R,No,0.000000,0
OHL,14620/scott-sheppard,F,2004,20.963889,68,29,59,88,1.294118,4,4,262,0,1,1983-09-28,DY+2,R,No,0.000000,0
OHL,14621/scott-wray,F,2000,20.738889,9,0,5,5,0.560000,1,0,9,1,0,1979-12-19,DY+2,L,No,0.000000,0
WHL,14626/martin-kubaliak,D,2003,18.261111,56,1,8,9,0.160000,1,1,56,0,0,1985-06-11,DY,L,No,0.000000,0
WHL,14626/martin-kubaliak,D,2004,19.261111,26,1,2,3,0.120000,2,2,82,0,0,1985-06-11,DY+1,L,No,0.000000,0
QMJHL,14629/brent-macsween,F,2004,18.172222,65,6,10,16,0.246154,1,1,65,0,1,1986-07-13,DY,L,No,0.000000,0
QMJHL,14629/brent-macsween,F,2005,19.172222,53,12,14,26,0.490566,2,2,118,0,1,1986-07-13,DY+1,L,No,0.000000,0
QMJHL,14629/brent-macsween,F,2006,20.172222,65,8,7,15,0.230769,3,3,183,0,1,1986-07-13,DY+2,L,No,0.000000,0
OHL,14631/andrew-desjardins,F,2004,18.133333,55,3,6,9,0.160000,1,1,55,0,1,1986-07-27,DY,L,No,0.000000,0
OHL,14631/andrew-desjardins,F,2005,19.133333,68,17,17,34,0.500000,2,2,123,0,1,1986-07-27,DY+1,L,No,0.000000,0
OHL,14631/andrew-desjardins,F,2006,20.133333,66,12,16,28,0.424242,3,3,189,0,1,1986-07-27,DY+2,L,No,0.000000,0
OHL,14631/andrew-desjardins,F,2007,21.133333,65,16,26,42,0.646154,4,4,254,0,1,1986-07-27,DY+3,L,No,0.000000,0
QMJHL,146324/roberto-bissonnette,F,1999,18.383333,44,7,6,13,0.295455,1,1,44,0,1,1981-04-27,DY,L,No,0.000000,0
QMJHL,146324/roberto-bissonnette,F,2000,19.383333,60,5,15,20,0.333333,2,2,104,0,1,1981-04-27,DY+1,L,No,0.000000,0
QMJHL,146324/roberto-bissonnette,F,2001,20.383333,71,31,31,62,0.873239,3,3,175,0,1,1981-04-27,DY+2,L,No,0.000000,0
QMJHL,146324/roberto-bissonnette,F,2002,21.383333,66,19,29,48,0.727273,4,4,241,0,1,1981-04-27,DY+3,L,No,0.000000,0
OHL,146352/r.a.-mobile,F,2000,18.363889,45,1,2,3,0.070000,1,1,45,1,0,1982-05-04,DY,L,No,0.000000,0
OHL,14641/ziga-pance,F,2007,18.705556,24,2,1,3,0.130000,1,1,24,1,0,1989-01-01,DY,L,No,0.000000,0
OHL,14642/david-kolomatis,D,2007,18.555556,67,4,16,20,0.298507,1,1,67,0,1,1989-02-25,DY,R,Yes,0.000000,0
OHL,14642/david-kolomatis,D,2008,19.555556,68,9,36,45,0.661765,2,2,135,0,1,1989-02-25,DY+1,R,Yes,0.000000,0
OHL,14642/david-kolomatis,D,2009,20.555556,63,18,28,46,0.730159,3,3,198,0,1,1989-02-25,DY+2,R,Yes,0.000000,0
OHL,14643/a.j.-jenks,F,2007,17.216667,68,9,14,23,0.338235,1,1,68,0,1,1990-06-27,DY-1,L,Yes,0.000000,0
OHL,14643/a.j.-jenks,F,2008,18.216667,68,26,29,55,0.808824,2,2,136,0,1,1990-06-27,DY,L,Yes,0.000000,0
OHL,14643/a.j.-jenks,F,2009,19.216667,61,21,31,52,0.852459,3,3,197,0,1,1990-06-27,DY+1,L,Yes,0.000000,0
OHL,14643/a.j.-jenks,F,2010,20.216667,52,23,40,63,1.211538,4,4,249,0,1,1990-06-27,DY+2,L,Yes,0.000000,0
OHL,14644/kevin-mitchell,D,1998,18.277778,65,10,46,56,0.861538,1,1,65,0,1,1980-06-05,DY,L,Yes,0.000000,0
OHL,14644/kevin-mitchell,D,1999,19.277778,68,26,52,78,1.147059,2,2,133,0,1,1980-06-05,DY+1,L,Yes,0.000000,0
OHL,14644/kevin-mitchell,D,2000,20.277778,68,19,58,77,1.132353,3,3,201,0,1,1980-06-05,DY+2,L,Yes,0.000000,0
OHL,14644/kevin-mitchell,D,2001,21.277778,54,10,29,39,0.722222,4,4,255,0,1,1980-06-05,DY+3,L,Yes,0.000000,0
QMJHL,14645/jean-philippe-pare,F,1996,16.905556,68,16,19,35,0.514706,1,1,68,0,1,1979-10-19,DY-2,L,No,0.000000,0
QMJHL,14645/jean-philippe-pare,F,1997,17.905556,56,13,25,38,0.678571,2,2,124,0,1,1979-10-19,DY-1,L,No,0.000000,0
QMJHL,14645/jean-philippe-pare,F,1998,18.905556,70,31,41,72,1.028571,3,3,194,0,1,1979-10-19,DY,L,No,0.000000,0
QMJHL,14645/jean-philippe-pare,F,1999,19.905556,69,36,67,103,1.492754,4,4,263,0,1,1979-10-19,DY+1,L,No,0.000000,0
QMJHL,14645/jean-philippe-pare,F,2000,20.905556,72,32,60,92,1.277778,5,5,335,0,1,1979-10-19,DY+2,L,No,0.000000,0
QMJHL,14647/olivier-filion,F,2000,17.950000,71,10,33,43,0.605634,1,1,71,0,1,1982-10-03,DY-1,L,No,0.000000,0
QMJHL,14647/olivier-filion,F,2001,18.950000,62,21,33,54,0.870968,2,2,133,0,1,1982-10-03,DY,L,No,0.000000,0
QMJHL,14647/olivier-filion,F,2002,19.950000,72,29,75,104,1.444444,3,3,205,0,1,1982-10-03,DY+1,L,No,0.000000,0
QMJHL,14647/olivier-filion,F,2003,20.950000,71,36,68,104,1.464789,4,4,276,0,1,1982-10-03,DY+2,L,No,0.000000,0
USHL,14649/dirk-southern,F,2002,19.100000,60,22,36,58,0.966667,1,1,60,1,0,1983-08-09,DY+1,R,Yes,0.000000,0
OHL,146538/mitch-graham,F,2013,18.194444,10,1,2,3,0.300000,1,0,10,0,0,1995-07-05,DY,R,No,0.000000,0
QMJHL,146538/mitch-graham,F,2014,19.194444,12,2,1,3,0.250000,2,0,22,0,0,1995-07-05,DY+1,R,No,0.000000,0
QMJHL,14654/eric-castonguay,F,2005,17.991667,66,19,13,32,0.484848,1,1,66,0,1,1987-09-18,DY-1,L,No,0.000000,0
QMJHL,14654/eric-castonguay,F,2006,18.991667,70,26,39,65,0.928571,2,2,136,0,1,1987-09-18,DY,L,No,0.000000,0
QMJHL,14654/eric-castonguay,F,2007,19.991667,69,27,37,64,0.927536,3,3,205,0,1,1987-09-18,DY+1,L,No,0.000000,0
OHL,14655/micheal-haley,F,2003,17.458333,43,3,3,6,0.140000,1,1,43,0,1,1986-03-30,DY-1,L,No,0.000000,0
OHL,14655/micheal-haley,F,2004,18.458333,51,8,8,16,0.313725,2,2,94,0,1,1986-03-30,DY,L,No,0.000000,0
OHL,14655/micheal-haley,F,2005,19.458333,61,14,16,30,0.491803,3,3,155,0,1,1986-03-30,DY+1,L,No,0.000000,0
OHL,14655/micheal-haley,F,2006,20.458333,53,14,6,20,0.377358,4,4,208,0,1,1986-03-30,DY+2,L,No,0.000000,0
OHL,14655/micheal-haley,F,2007,21.458333,68,30,24,54,0.794118,5,5,276,0,1,1986-03-30,DY+3,L,No,0.000000,0
USHL,146564/r.j.-gicewicz,D,2013,17.838889,3,0,1,1,0.333333,1,0,3,0,0,1995-11-13,DY-1,L,No,0.000000,0
USHL,146564/r.j.-gicewicz,D,2014,18.838889,41,0,4,4,0.097561,2,1,44,0,0,1995-11-13,DY,L,No,0.000000,0
USHL,146564/r.j.-gicewicz,D,2015,19.838889,49,0,5,5,0.102041,3,2,93,0,0,1995-11-13,DY+1,L,No,0.000000,0
WHL,14657/evander-kane,F,2008,17.119444,65,24,17,41,0.630769,1,1,65,0,0,1991-08-02,DY-1,L,Yes,0.631741,649
WHL,14657/evander-kane,F,2009,18.119444,61,48,48,96,1.573770,2,2,126,0,0,1991-08-02,DY,L,Yes,0.631741,649
WHL,14659/johnny-lazo,F,2008,19.686111,70,15,24,39,0.557143,1,1,70,0,1,1989-01-08,DY+1,R,No,0.000000,0
WHL,14659/johnny-lazo,F,2009,20.686111,72,22,38,60,0.833333,2,2,142,0,1,1989-01-08,DY+2,R,No,0.000000,0
WHL,14659/johnny-lazo,F,2010,21.686111,72,39,32,71,0.986111,3,3,214,0,1,1989-01-08,DY+3,R,No,0.000000,0
WHL,14660/michael-macangus,F,2006,18.583333,55,5,10,15,0.272727,1,1,55,0,1,1988-02-15,DY,L,No,0.000000,0
WHL,14660/michael-macangus,F,2007,19.583333,70,24,27,51,0.728571,2,2,125,0,1,1988-02-15,DY+1,L,No,0.000000,0
WHL,14660/michael-macangus,F,2008,20.583333,72,18,33,51,0.708333,3,3,197,0,1,1988-02-15,DY+2,L,No,0.000000,0
WHL,14660/michael-macangus,F,2009,21.583333,72,14,22,36,0.500000,4,4,269,0,1,1988-02-15,DY+3,L,No,0.000000,0
WHL,14661/alex-poulter,F,2006,16.855556,57,4,5,9,0.160000,1,1,57,0,1,1989-11-07,DY-2,R,No,0.000000,0
WHL,14661/alex-poulter,F,2007,17.855556,67,6,6,12,0.179104,2,2,124,0,1,1989-11-07,DY-1,R,No,0.000000,0
WHL,14661/alex-poulter,F,2008,18.855556,72,16,21,37,0.513889,3,3,196,0,1,1989-11-07,DY,R,No,0.000000,0
WHL,14661/alex-poulter,F,2009,19.855556,65,8,15,23,0.353846,4,4,261,0,1,1989-11-07,DY+1,R,No,0.000000,0
OHL,146611/scott-restoule,F,2005,18.216667,65,5,20,25,0.384615,1,1,65,0,0,1987-06-27,DY,R,No,0.000000,0
OHL,146611/scott-restoule,F,2006,19.216667,59,11,23,34,0.576271,2,2,124,0,0,1987-06-27,DY+1,R,No,0.000000,0
WHL,14662/brandon-herrod,F,2008,17.011111,64,7,17,24,0.375000,1,1,64,0,1,1991-09-11,DY-1,R,No,0.000000,0
WHL,14662/brandon-herrod,F,2009,18.011111,69,16,32,48,0.695652,2,2,133,0,1,1991-09-11,DY,R,No,0.000000,0
WHL,14662/brandon-herrod,F,2010,19.011111,70,37,28,65,0.928571,3,3,203,0,1,1991-09-11,DY+1,R,No,0.000000,0
WHL,14662/brandon-herrod,F,2011,20.011111,71,28,40,68,0.957746,4,4,274,0,1,1991-09-11,DY+2,R,No,0.000000,0
WHL,14662/brandon-herrod,F,2012,21.011111,68,29,41,70,1.029412,5,5,342,0,1,1991-09-11,DY+3,R,No,0.000000,0
WHL,14663/tyler-swystun,F,2007,19.666667,70,12,24,36,0.514286,1,1,70,0,0,1988-01-15,DY+1,R,No,0.000000,0
WHL,14663/tyler-swystun,F,2008,20.666667,72,12,22,34,0.472222,2,2,142,0,0,1988-01-15,DY+2,R,No,0.000000,0
OHL,14668/taylor-raszka,F,2003,16.897222,52,4,5,9,0.170000,1,1,52,0,1,1986-10-22,DY-2,L,No,0.000000,0
OHL,14668/taylor-raszka,F,2004,17.897222,54,6,4,10,0.185185,2,2,106,0,1,1986-10-22,DY-1,L,No,0.000000,0
OHL/USHL,14668/taylor-raszka,F,2005,18.897222,45,10,9,19,0.422222,3,3,151,0,1,1986-10-22,DY,L,No,0.000000,0
OHL,14668/taylor-raszka,F,2006,19.897222,62,27,10,37,0.596774,4,4,213,0,1,1986-10-22,DY+1,L,No,0.000000,0
USHL,14670/scott-polaski,D,2000,18.113889,58,15,22,37,0.637931,1,1,58,0,0,1982-08-04,DY,R,Yes,0.000000,0
USHL,14670/scott-polaski,D,2001,19.113889,51,18,26,44,0.862745,2,2,109,0,0,1982-08-04,DY+1,R,Yes,0.000000,0
WHL,14672/corey-courchene,F,2004,18.294444,52,1,5,6,0.120000,1,1,52,0,1,1986-05-29,DY,L,No,0.000000,0
WHL,14672/corey-courchene,F,2005,19.294444,66,6,9,15,0.227273,2,2,118,0,1,1986-05-29,DY+1,L,No,0.000000,0
WHL,14672/corey-courchene,F,2006,20.294444,56,11,13,24,0.428571,3,3,174,0,1,1986-05-29,DY+2,L,No,0.000000,0
WHL,14672/corey-courchene,F,2007,21.294444,23,4,5,9,0.390000,4,4,197,0,1,1986-05-29,DY+3,L,No,0.000000,0
USHL,14673/konrad-reeder,F,2001,19.813889,54,34,24,58,1.074074,1,1,54,0,0,1981-11-22,DY+1,R,No,0.000000,0
USHL,14673/konrad-reeder,F,2002,20.813889,55,26,23,49,0.890909,2,2,109,0,0,1981-11-22,DY+2,R,No,0.000000,0
WHL,14674/ryan-watson,F,2000,19.258333,20,3,1,4,0.200000,1,1,20,1,0,1981-06-12,DY+1,L,No,0.000000,0
USHL,146824/hugo-reinhardt,F,2016,20.441667,48,6,7,13,0.270833,1,1,48,1,0,1996-04-06,DY+2,L,No,0.000000,0
WHL,146844/justin-gutierrez,F,2013,17.730556,48,4,5,9,0.190000,1,1,48,0,1,1995-12-22,DY-1,L,No,0.000000,0
WHL,146844/justin-gutierrez,F,2014,18.730556,70,3,18,21,0.300000,2,2,118,0,1,1995-12-22,DY,L,No,0.000000,0
WHL,146844/justin-gutierrez,F,2015,19.730556,67,11,18,29,0.432836,3,3,185,0,1,1995-12-22,DY+1,L,No,0.000000,0
WHL,146844/justin-gutierrez,F,2016,20.730556,46,22,27,49,1.065217,4,4,231,0,1,1995-12-22,DY+2,L,No,0.000000,0
OHL,146884/nick-pastorious,F,2014,18.350000,36,3,2,5,0.140000,1,1,36,0,1,1996-05-09,DY,R,No,0.000000,0
OHL,146884/nick-pastorious,F,2015,19.350000,45,4,3,7,0.160000,2,2,81,0,1,1996-05-09,DY+1,R,No,0.000000,0
OHL,146884/nick-pastorious,F,2016,20.350000,48,3,5,8,0.170000,3,3,129,0,1,1996-05-09,DY+2,R,No,0.000000,0
USHL,146985/philip-nyberg,D,2017,20.383333,25,2,7,9,0.360000,1,1,25,1,0,1997-04-27,DY+2,R,Yes,0.000000,0
WHL,14701/ryan-kinasewich,F,2000,17.069444,47,3,10,13,0.276596,1,1,47,0,1,1983-08-20,DY-1,L,No,0.000000,0
WHL,14701/ryan-kinasewich,F,2001,18.069444,66,12,20,32,0.484848,2,2,113,0,1,1983-08-20,DY,L,No,0.000000,0
WHL,14701/ryan-kinasewich,F,2002,19.069444,61,19,28,47,0.770492,3,3,174,0,1,1983-08-20,DY+1,L,No,0.000000,0
WHL,14701/ryan-kinasewich,F,2003,20.069444,66,39,52,91,1.378788,4,4,240,0,1,1983-08-20,DY+2,L,No,0.000000,0
WHL,14701/ryan-kinasewich,F,2004,21.069444,55,33,36,69,1.254545,5,5,295,0,1,1983-08-20,DY+3,L,No,0.000000,0
QMJHL,147152/tomas-iglo,D,2003,19.391667,29,0,1,1,0.030000,1,1,29,1,0,1984-04-24,DY+1,L,No,0.000000,0
QMJHL,14725/daniel-sparre,F,2003,18.913889,70,25,19,44,0.628571,1,1,70,0,0,1984-10-16,DY,L,No,0.000000,0
QMJHL,14725/daniel-sparre,F,2005,20.913889,62,35,33,68,1.096774,2,2,132,0,0,1984-10-16,DY+2,L,No,0.000000,0
QMJHL,14726/yannick-tifu,F,2002,17.925000,69,8,17,25,0.362319,1,1,69,0,1,1984-10-12,DY-1,L,No,0.000000,0
QMJHL,14726/yannick-tifu,F,2003,18.925000,70,21,30,51,0.728571,2,2,139,0,1,1984-10-12,DY,L,No,0.000000,0
QMJHL,14726/yannick-tifu,F,2004,19.925000,70,42,48,90,1.285714,3,3,209,0,1,1984-10-12,DY+1,L,No,0.000000,0
QMJHL,14726/yannick-tifu,F,2005,20.925000,70,28,54,82,1.171429,4,4,279,0,1,1984-10-12,DY+2,L,No,0.000000,0
OHL,14728/nazem-kadri,F,2007,16.941667,62,7,15,22,0.354839,1,1,62,0,1,1990-10-06,DY-2,L,Yes,0.636364,561
OHL,14728/nazem-kadri,F,2008,17.941667,68,25,40,65,0.955882,2,2,130,0,1,1990-10-06,DY-1,L,Yes,0.636364,561
OHL,14728/nazem-kadri,F,2009,18.941667,56,25,53,78,1.392857,3,3,186,0,1,1990-10-06,DY,L,Yes,0.636364,561
OHL,14728/nazem-kadri,F,2010,19.941667,56,35,58,93,1.660714,4,4,242,0,1,1990-10-06,DY+1,L,Yes,0.636364,561
